"TICKER_BLOOMBERG","DESCRIPTION","COUNTRY","METALS","TYPE","UNITS"
AICNRN03 SMMC Index,China Aluminum Wire & Cable Producers Operating Rates Monthly,China,Aluminium,Utilization Rates,%
AICNRN01 SMMC Index,China Aluminum Ingot Operating Rates Monthly,China,Aluminium,Utilization Rates,%
AICNRN02 SMMC Index,China Aluminum Alloy Producers Operating Rates Monthly,China,Aluminium,Utilization Rates,%
CECNRN12 SMMC Index,China Copper Cathode Rod Producers Total Operating Rates,China,Copper,Utilization Rates,%
CECNRN16 SMMC Index,China Copper Plate/Sheet and Strip Producers Total Operating Rates,China,Copper,Utilization Rates,%
NICNRN01 SMMC Index,China Refined Nickel Producers Operating Rates Monthly,China,Nickel,Utilization Rates,%
Z1CNRN04 SMMC Index,China Zinc Concentrate Producers Operating Rates Monthly,China,Zinc,Utilization Rates,%
ZNCNRN09 SMMC Index,China Zinc Galvanizers Operating Rates Monthly,China,Zinc,Utilization Rates,%
CECNRN20 SMMC Index,China Copper Tube Producers Total Operating Rates,China,Copper,Utilization Rates,%
AICNPR10 SMMC Index,China Aluminum Production Monthly,China,Aluminium,Production,"10000 metric tonnes"
PBCNPR05 SMMC Index,China Primary Lead Production Monthly,China,Lead,Refined Production,"10000 metric tonnes"
ZNCNPR01 SMMC Index,China Refined Zinc Production Monthly,China,Zinc,Refined Production,"10000 metric tonnes"
AACNPR SMMC Index,China Alumina Production Monthly,China,Aluminium,Production,"10000 metric tonnes"
Z1CNPR01 SMMC Index,China Zinc Concentrate Production Monthly,China,Zinc,Production,"10000 metric tonnes"
AACNPC05 SMMC Index,China Alumina Import VAT,China,Aluminium,Duty,%
PBCNST03 SMMC Index,China Lead Inventory Total Weekly,China,Lead,Stocks,"10000 metric tonnes"
N2IDMHPP SMMC Index,Indonesia Output of Nickel MHP Monthly,Indonesia,Nickel,Production,"10000 metric tonnes"
CHNMCMPT Index,China Electronic Computers Output - Monthly,China,Demand,Consumer Durables,Units
CHMMMICO Index,China Micro Computers Output - Monthly,China,Demand,Consumer Durables,Units
CHMMMCEQ Index,China Mobile Communications Equipment Output - Monthly,China,Demand,Consumer Durables,Units
CHMMMOBL Index,China Mobiles Output - Monthly,China,Demand,Consumer Durables,Units
CHXNIC Index,China Integrated Circuit Output - Monthly,China,Demand,Consumer Durables,Units
CHMMELTL Index,China Portable Electric Devices Output - Monthly,China,Demand,Consumer Durables,Units
CHXNACMO Index,China AC Motors Output - Monthly,China,Demand,Consumer Durables,Units
CHMMEIM Index,China Electric Instruments & Meter Output - Monthly,China,Demand,Consumer Durables,Units
CHMMENGN Index,China Engines Output - Monthly,China,Demand,Machinery,Units
CHMMMSEQ Index,China Metal Smelting Equipment Output - Monthly,China,Demand,Machinery,Units
CHMMINDU Index,China Industrial Robots Output - Monthly,China,Demand,Machinery,Units
CHMMELEV Index,China Elevators Output - Monthly,China,Demand,Machinery,Units
CHMMBLTT Index,China Bullet Trains Output - Monthly,China,Demand,Machinery,Units
CHXNSTSH Index,China Civil Steel Ships Output - Monthly,China,Demand,Machinery,Units
CHMMEXCA Index,China Excavators Output - Monthly,China,Demand,Civil and building construction,Units
CNVSTHPE Index,China Heavy Duty Truck Sales - Pure Electric,China,Demand,Transport,Units
CNVSTHPH Index,China Heavy Duty Truck Sales - Plug-in-hybrid,China,Demand,Transport,Units
CNVSTMPE Index,China Medium Duty Truck Sales - Pure Electric,China,Demand,Transport,Units
CNVSTMPH Index,China Medium Duty Truck Sales - Plug-in-hybrid,China,Demand,Transport,Units
CNVSTLPE Index,China Light Duty Truck Sales - Pure Electric,China,Demand,Transport,Units
CNVSTLPH Index,China Light Duty Truck Sales - Plug-in-hybrid,China,Demand,Transport,Units
CNVSTIPE Index,China Mini Duty Truck Sales - Pure Electric,China,Demand,Transport,Units
CNVSTIPH Index,China Mini Duty Truck Sales - Plug-in-hybrid,China,Demand,Transport,Units
CNVSRDPE Index,China Semi-Tractor Sales - Pure Electric,China,Demand,Transport,Units
CNVSRDPH Index,China Semi-Tractor Sales - Plug-in-hybrid,China,Demand,Transport,Units
CNVSPETH Index,China Incomplete Heavy Duty Truck Sales - Pure Electric,China,Demand,Transport,Units
CNVSPHTH Index,China Incomplete Heavy Duty Truck Sales - Plug-in-hybrid,China,Demand,Transport,Units
CNVSPETM Index,China Incomplete Medium Duty Truck Sales - Pure Electric,China,Demand,Transport,Units
CNVSPHTM Index,China Incomplete Medium Duty Truck Sales - Plug-in-hybrid,China,Demand,Transport,Units
CNVSPETL Index,China Incomplete Light Duty Truck Sales - Pure Electric,China,Demand,Transport,Units
CNVSPHTL Index,China Incomplete Light Duty Truck Sales - Plug-in-hybrid,China,Demand,Transport,Units
CNVSPETI Index,China Incomplete Mini Duty Truck Sales - Pure Electric,China,Demand,Transport,Units
CNVSPHTI Index,China Incomplete Mini Duty Truck Sales - Plug-in-hybrid,China,Demand,Transport,Units
CNVSTHT Index,China Heavy-Duty Truck Sales - Total,China,Demand,Transport,Units
CNVPBHD Index,China Heavy-Duty Truck Sales - Diesel,China,Demand,Transport,Units
CNVPBHG Index,China Heavy-Duty Truck Sales - Gasoline,China,Demand,Transport,Units
AUTMEUVS Index,Bloomberg Europe Auto Sales,Ex-China,Demand,Auto,Units
AUTMNAVS Index,Bloomberg North America Auto Sales,Ex-China,Demand,Auto,Units
USASLGHN Index,USA Light vehicle sales,Ex-China,Demand,Auto,Units
MXVHTOTL Index,Mexico auto sales,Ex-China,Demand,Auto,Units
CAUTSALE Index,Canada auto sales,Ex-China,Demand,Auto,Units
AUTMLAVS Index,Bloomberg Latin America Auto Sales,Ex-China,Demand,Auto,Units
BZVLTOTL Index,Brazil Auto Sales,Ex-China,Demand,Auto,Units
AUTMMEVS Index,Bloomerg Africa and Middle East Auto Sales,Ex-China,Demand,Auto,Units
NAAMCARS Index,South Africa sales,Ex-China,Demand,Auto,Units
KNNVREG Index,Kenya sales,Ex-China,Demand,Auto,Units
AUTMASBS Index,Bloomberg Asia Auto Sales,Ex-China,Demand,Auto,Units
JNVTTOTL Index,Japan Auto Sales,Ex-China,Demand,Auto,Units
AUTMKRVS Index,S. Korea Auto Sales,Ex-China,Demand,Auto,Units
SINVHR Index,Singapore auto sales,Ex-China,Demand,Auto,Units
TWVSDOM Index,Taiwan auto sales,Ex-China,Demand,Auto,Units
IDVHCLOC Index,Indonesia auto sales,Ex-China,Demand,Auto,Units
FADAINPV Index,India auto sales,Ex-China,Demand,Auto,Units
THVHSCAR Index,Thailand auto sales,Ex-China,Demand,Auto,Units
PAVSCAR Index,Pakistan auto sales,Ex-China,Demand,Auto,Units
ASEAPHLS Index,Philippines auto sales,Ex-China,Demand,Auto,Units
MAVSTTL Index,Malaysia auto sales,Ex-China,Demand,Auto,Units
VECSTOTL Index,Vietnam auto sales,Ex-China,Demand,Auto,Units
CSBW27 Index,Europe construction,Ex-China,Demand,Construction,Units
CSBW27YY Index,Europe construction y/y,Ex-China,Demand,Construction,Units
CNCS27 Index,Europe engineering,Ex-China,Demand,Construction,Units
CNCW27YY Index,Europe engineering y/y,Ex-China,Demand,Construction,Units
CNSTNROY Index,US Non Residential,Ex-China,Demand,Construction,Units
CNNSRESI Index,Residential spending,Ex-China,Demand,Construction,Units
CNSTTOTA Index,Total US spending,Ex-China,Demand,Construction,Units
CNSTTYOY Index,Total US spending y/y,Ex-China,Demand,Construction,Units
JNIACONS Index,Japn -top 50 contractors,Ex-China,Demand,Construction,Units
NHCHSYOY Index,US Housing starts (y/y %),Ex-China,Demand,Construction,Units
PHUC1UT Index,US private housing completions,Ex-China,Demand,Construction,Units
NHSLYOY Index,US family home sales,Ex-China,Demand,Construction,Units
MVCIBUIL Index,Mexico construction building volume,Ex-China,Demand,Construction,Units
CAHSTOTL Index,Canada housing starts,Ex-China,Demand,Construction,Units
SACSCSTO Index,South Africa Housing Completions,Ex-China,Demand,Construction,Units
INFRCEM Index,India cement index,Ex-China,Demand,Construction,Units
BZDECEMY Index,Brazil cement index,Ex-China,Demand,Construction,Units
CEMORUAC Index,Russia cement index,Ex-China,Demand,Construction,Units
IDCETOTL Index,Indonesia cement consumtpion,Ex-China,Demand,Construction,Units
E4275DE Index,Germany,Ex-China,Demand,Consumer Goods,Units
E4275FR Index,France,Ex-China,Demand,Consumer Goods,Units
E4275ES Index,Spain,Ex-China,Demand,Consumer Goods,Units
E4275IT Index,Italy,Ex-China,Demand,Consumer Goods,Units
ICGDAPPL Index,USA,Ex-China,Demand,Consumer Goods,Units
CAGMUMAJ Index,Canada,Ex-China,Demand,Consumer Goods,Units
JNP1REFM Index,Japan Fridges & appliances,Ex-China,Demand,Consumer Goods,Units
JNP1HOMA Index,Japan Housekeeping,Ex-China,Demand,Consumer Goods,Units
JNP1AIRC Index,Japan Aircon,Ex-China,Demand,Consumer Goods,Units
KOEIHOME Index,South Kororea home appliances exports,Ex-China,Demand,Consumer Goods,Units
SKHSTOT Index,South Korea housing sales,Ex-China,Demand,Consumer Goods,Units
KOOSELY Index,South Korea online home appliances ,Ex-China,Demand,Consumer Goods,Units
KODSONLI Index,South Korea Total online sales,Ex-China,Demand,Consumer Goods,Units
IDIZDCG Index,Indonesia Durable goods imports,Ex-China,Demand,Consumer Goods,Units
THRSDGSP Index ,Thailand,Ex-China,Demand,Consumer Goods,Units
MASMDMAP Index ,Malaysia,Ex-China,Demand,Consumer Goods,Units
INPICNDY Index,India - Consumer Goods,Ex-China,Demand,Consumer Goods,Units
TUIOIDG Index,Turkey,Ex-China,Demand,Consumer Goods,Units
BZDEHOUY Index,Brazil,Ex-China,Demand,Consumer Goods,Units
SAMGHAY Index,South Africa,Ex-China,Demand,Consumer Goods,Units
IGMDIMAC Index,US IP Manufacturing Durables,Ex-China,Demand,Machinery,Units
MXIPMACH Index,Canada IP Manufacturing Durables,Ex-China,Demand,Machinery,Units
CAGMUMAC Index,Mexico IP machinery and equipment,Ex-China,Demand,Machinery,Units
E6028EUY Index,Eurozone machinery /y,Ex-China,Demand,Machinery,Units
INPICPTY Index,India - Machinery,Ex-China,Demand,Machinery,Units
THMP28 Index,Thailand,Ex-China,Demand,Machinery,Units
VOPIELEC Index,Phillipinnes,Ex-China,Demand,Machinery,Units
JAPPCAP2 Index,Japan,Ex-China,Demand,Machinery,Units
TWIPMACY Index,Taiwan,Ex-China,Demand,Machinery,Units
KOIPMXP Index,S. Korea,Ex-China,Demand,Machinery,Units
BZIXMACS Index,Brazil machinery and equipment output,Ex-China,Demand,Machinery,Units
BZDEMACY Index,Brazil general purpose machinery and equipment output,Ex-China,Demand,Machinery,Units
BZDESPPY Index,Brazil special purpose machinery,Ex-China,Demand,Machinery,Units
BZIXMACH Index,Brazil IP machinery and equipment,Ex-China,Demand,Machinery,Units
BZDEMINI Index,Brazil machinery for mining/quarry/construction,Ex-China,Demand,Machinery,Units
